2026-02-23 00:23:34 [main] INFO  Application - No ktor.deployment.watch patterns match classpath entries, automatic reload is not active
2026-02-23 00:23:35 [main] INFO  com.sra.config.DatabaseConfig - Initializing database connection...
2026-02-23 00:23:35 [main] INFO  Exposed - Preparing create tables statements took 64ms
2026-02-23 00:23:35 [main] INFO  Exposed - Executing create tables statements took 13ms
2026-02-23 00:23:35 [main] INFO  Exposed - Extracting table columns took 29ms
2026-02-23 00:23:35 [main] INFO  Exposed - Extracting primary keys took 13ms
2026-02-23 00:23:35 [main] INFO  Exposed - Extracting column constraints took 51ms
2026-02-23 00:23:35 [main] INFO  Exposed - Preparing alter table statements took 104ms
2026-02-23 00:23:35 [main] INFO  Exposed - Executing alter table statements took 28ms
2026-02-23 00:23:35 [main] INFO  Exposed - Checking mapping consistence took 21ms
2026-02-23 00:23:35 [main] INFO  com.sra.config.DatabaseConfig - Database tables verified/created
2026-02-23 00:23:35 [main] INFO  com.sra.config.DatabaseConfig - Database initialized successfully
2026-02-23 00:23:35 [main] INFO  Application - SRA Backend started successfully
2026-02-23 00:23:35 [main] INFO  Application - Application started in 1.433 seconds.
2026-02-23 00:23:35 [main] INFO  Application - Responding at http://127.0.0.1:8080
